dx_origin,dy_origin,da_origin,dx_smooth,dy_smooth,da_smooth
4.405281,8.433702,-0.159025,-20.008305,-26.047895,1.468218
-2.440836,1.984658,-0.052770,-24.915633,-33.182843,1.556812
-2.381516,5.155852,-0.339592,-23.004992,-33.829738,1.536802
-8.737966,3.353391,-0.010332,-21.186313,-37.715750,1.804132
-8.659495,3.574865,-0.087386,-13.044281,-39.815718,1.743358
-3.644190,-1.894681,-0.080120,-4.983205,-42.109229,1.759882
2.952316,2.945506,-0.104530,-1.981689,-38.833721,1.766541
5.438879,-1.489184,0.025468,-5.601341,-40.320387,1.795207
4.308774,0.350093,0.011565,-11.727840,-37.389424,1.694511
-3.080609,-2.707294,0.172721,-16.649938,-36.208876,1.606264
-4.187134,-6.440985,0.132381,-14.105311,-31.979058,1.357744
-3.007579,-5.108309,0.113528,-10.511245,-24.046353,1.150310
0.523951,-3.798100,0.016550,-8.131061,-17.543522,0.961778
0.021582,-3.159530,-0.036981,-9.326161,-12.351938,0.870306
-7.160951,0.168384,-0.094890,-10.025378,-7.836935,0.833037
-7.814962,2.361173,0.045767,-3.545065,-6.706225,0.854187
3.104212,-3.584247,0.106619,3.557172,-7.780818,0.735595
0.918322,5.287897,-0.175051,-0.295639,-2.968193,0.557647
-3.519418,-14.017893,0.262012,-1.990858,-7.077569,0.662726
-7.042032,2.900622,-0.096488,0.720998,8.102548,0.330576
-1.282918,16.759104,-0.554978,6.889596,6.317528,0.356876
-0.519841,-4.922062,-0.034166,7.346700,-9.227685,0.837644
-3.410465,-3.131981,-0.013978,6.983139,-3.086577,0.798199
-0.994506,-3.235894,-0.025708,9.478136,1.210384,0.741631
-1.373853,-1.465471,-0.032512,9.606823,5.552075,0.701786
-4.086094,-2.411599,-0.017379,10.122386,8.038985,0.674040
-2.413105,-0.673598,-0.043426,13.372505,11.327392,0.639965
-1.162402,-0.918823,-0.046604,14.988681,12.661331,0.639518
-0.203429,-0.374024,-0.007427,15.438176,14.306068,0.639698
0.322762,-3.417161,-0.020532,14.927156,15.401678,0.600880
0.225165,-1.302090,-0.023988,13.977147,19.459987,0.577717
1.354315,-4.597601,0.040065,13.193222,21.444845,0.561060
0.586482,-3.057553,-0.007666,11.317964,26.429902,0.497188
-0.914418,-0.186823,-0.034967,10.224483,29.861083,0.482647
1.846483,0.156364,0.024395,10.669397,30.732006,0.483079
2.918271,0.604333,-0.011016,8.350820,31.179118,0.427147
3.325131,3.705128,-0.077364,4.932120,31.279085,0.405279
1.832335,5.006989,-0.033367,1.108729,28.319500,0.447423
3.720902,2.536839,-0.009554,-1.210611,24.025687,0.446455
1.684982,0.280136,0.006621,-5.479261,21.993772,0.433917
-3.482453,-0.415137,0.151748,-7.733242,22.239432,0.407318
-4.471515,-0.845416,0.187691,-4.808716,23.168455,0.236657
1.726473,0.080346,0.022324,-0.817098,24.597310,0.029082
2.842870,-0.669288,0.040326,-3.052863,25.118698,-0.011222
-0.302870,-2.953143,0.050077,-6.348953,26.536289,-0.073533
1.189492,-1.425071,-0.055169,-6.416839,30.165175,-0.143849
2.547402,-0.834780,0.043021,-7.956719,32.224276,-0.107523
-0.477328,-2.545612,0.005823,-10.882896,33.688113,-0.168589
-1.468562,-2.308948,-0.005585,-10.726664,36.891621,-0.191033
-0.590942,3.222341,-0.036598,-9.428636,40.064733,-0.207310
0.129102,0.394914,-0.004133,-9.020725,37.654403,-0.190674
-0.220067,-0.812251,-0.054623,-9.280408,38.065711,-0.206195
-6.311517,-1.978982,0.011717,-9.143294,39.663116,-0.169039
1.172410,1.329837,-0.053379,-2.870569,42.469893,-0.198370
2.098753,2.013627,0.050337,-4.024241,41.953276,-0.163356
0.571283,7.255180,-0.089923,-6.211595,40.746787,-0.232510
-1.142345,6.514904,-0.123984,-6.885352,34.287152,-0.163234
0.429671,6.838330,-0.016247,-5.781034,28.597958,-0.061984
-2.265743,-0.044817,0.118256,-6.154820,22.687854,-0.071252
1.807829,-3.116092,0.193118,-3.941061,23.613210,-0.214972
1.298060,5.633843,0.085039,-5.871749,27.640014,-0.435631
1.702601,9.452325,-0.069954,-7.257571,22.907840,-0.550020
-1.936431,7.369395,-0.097893,-9.008032,14.258180,-0.503394
-0.974114,8.109003,0.002200,-7.061747,7.842630,-0.433910
-4.529698,1.057770,-0.030249,-6.124910,0.746573,-0.464989
-7.921386,-3.290243,0.015059,-1.665336,0.721864,-0.464057
-4.108063,-2.680809,0.013737,6.159973,5.076885,-0.509142
0.797680,-8.596349,0.036446,10.142993,8.876274,-0.553444
1.693387,5.484689,0.011036,9.279348,18.628252,-0.621584
4.849020,-5.597149,0.165222,7.501305,14.248359,-0.663503
-4.681654,-0.678156,-0.029071,2.612587,20.946329,-0.862099
-9.114363,1.958883,-0.082173,7.346463,22.756854,-0.870818
-5.038019,-0.537285,-0.071135,16.492916,21.941606,-0.828160
1.677976,-7.039119,0.026772,21.530224,23.654154,-0.796751
4.033446,0.789339,0.078793,19.802159,31.843031,-0.861760
-3.997475,7.944505,0.032288,15.718901,32.141348,-0.976836
-6.417007,2.612724,0.072223,19.754850,25.178752,-1.042807
0.607146,0.266435,0.037312,26.288299,23.549549,-1.150426
0.943455,0.403775,0.039146,25.843234,24.274020,-1.222163
1.290687,-6.525661,0.101842,25.100462,24.845882,-1.296475
2.353079,-0.601747,0.043616,24.081215,32.349004,-1.433128
-1.066056,4.736661,-0.029394,22.035143,33.970071,-1.510723
1.570183,11.431165,-0.417562,23.394540,30.247608,-1.514511
-4.109467,6.970219,0.036747,22.095492,19.803702,-1.129759
7.974069,4.420568,0.014180,26.426376,13.775594,-1.199045
3.789313,-1.164235,0.028155,18.699693,10.283935,-1.246273
-4.436950,5.801796,-0.024315,15.284136,12.326803,-1.303509
6.035817,-4.332004,-0.060059,20.188837,7.495833,-1.307496
-2.618019,2.495330,-0.033047,14.643837,12.829236,-1.274926
2.087874,-2.216202,0.016650,17.720902,11.398319,-1.269558
-0.085108,-1.221829,-0.011446,16.109308,14.676491,-1.312793
-4.033808,0.018283,-0.006027,16.725227,17.076813,-1.332277
-5.179451,2.127278,-0.019906,21.250238,18.177611,-1.355212
-5.107751,-1.358968,-0.042039,26.889119,17.151314,-1.363070
-6.334060,1.790116,-0.072834,32.505032,19.704431,-1.349801
-7.857259,1.070745,-0.080680,39.398704,19.092964,-1.304814
8.250106,15.817155,-0.687571,47.779459,19.083439,-1.247952
-4.223414,-1.566794,-0.018090,40.045111,4.405889,-0.582943
1.792633,0.621877,0.045092,44.867242,7.158266,-0.587066
6.040830,1.492649,0.185172,43.713831,7.756055,-0.654180
-8.770711,-4.455072,0.364077,38.313798,7.550862,-0.860848
-2.313857,6.418211,-0.001707,47.752911,13.319491,-1.246228
-4.730658,-5.791111,-0.019105,50.768481,8.227909,-1.265448
4.774699,11.415986,-0.598373,56.228593,15.336309,-1.266283
0.803402,-3.236098,-0.053137,52.207612,5.198299,-0.687253
8.313522,-4.620675,0.027329,52.169870,9.700911,-0.652886
0.097051,5.630345,0.124255,44.622323,15.597238,-0.698640
5.936967,7.398102,-0.072360,45.252039,11.289631,-0.841458
0.469880,7.316268,-0.067359,40.030218,5.238329,-0.787660
-1.224903,1.813904,0.060215,40.288220,-0.704800,-0.738456
0.306525,-7.751762,0.249286,42.230881,-1.115514,-0.816738
0.430837,15.965456,-0.403411,42.606981,8.025850,-1.084138
4.291374,6.949374,-0.458357,42.824039,-6.596273,-0.698617
2.953941,-7.690739,-0.002090,39.183918,-12.235795,-0.258108
-6.625886,-6.431608,0.109948,36.876349,-3.259168,-0.273727
-4.560248,2.484667,0.121934,44.116916,4.451127,-0.401098
3.022872,-2.146348,-0.012363,49.345900,3.238246,-0.541108
1.334193,8.499867,-0.374811,47.074472,6.660937,-0.548003
-5.882326,-1.395502,0.110499,46.502705,-0.596154,-0.192498
1.768775,20.009209,-0.753425,53.155339,2.064490,-0.322758
7.721071,2.640229,-0.311761,52.206553,-16.625916,0.410715
6.621330,-8.528476,0.130752,45.329489,-17.947620,0.703090
-4.906058,-3.478409,0.106910,39.542717,-8.088043,0.552879
5.922877,-1.205062,0.199923,45.287852,-3.274519,0.426581
20.037549,28.154688,-0.884043,40.222118,-0.724387,0.207363
-4.176346,-9.429499,0.193738,21.038276,-27.554713,1.072651
5.071859,-4.656362,0.018906,26.063534,-16.817057,0.860352
7.897067,-6.173793,0.302900,21.853668,-10.876353,0.823450
2.400231,9.088386,-0.011110,14.862720,-3.434832,0.502541
4.970642,-3.273364,-0.015264,13.346952,-11.271763,0.495913
-14.169625,-4.294373,-0.021839,9.202923,-6.749180,0.493349
-0.202902,1.062220,-0.241226,24.172804,-1.265487,0.498143
10.584780,8.329364,-0.237098,25.202866,-1.195371,0.723088
11.842553,13.386341,-0.391530,15.464808,-8.425396,0.944629
-12.399293,-8.960966,0.036177,4.498269,-20.714394,1.320586
-7.755656,-1.506278,-0.237931,17.770646,-10.657880,1.267561
-1.790538,-1.648910,0.013404,26.369471,-8.104093,1.488417
3.982628,3.839222,-0.075083,28.972997,-5.492755,1.458538
2.218141,4.126090,-0.004838,25.825721,-8.447639,1.518101
-8.024778,5.303787,-0.026057,24.470548,-11.752071,1.508095
-9.628085,2.904331,-0.057058,33.395930,-16.253400,1.519746
-3.507172,3.866307,-0.099243,43.965323,-18.347194,1.562970
